File Path: F:\Lewis Lab\Macy Castaneda\Three-Point-Bending 2022-10-26\C18-RR-M-RF 10-26-2022 1 10 29 PM\Collect Data - (Timed).txt   
Test: 3-point bend for mouse bone
Test Run: C18-RR-M-RF
Date: 10/26/2022 1:09:04 PM


Ch 1 Displacement 	Ch 1 Force 	Ch 2 Torque 	Aux Input 5 	Running Time 
mm	kN	kN·mm	V	sec
-0.61259267386049	-0.00967556762695313	0.000437933922512457	-0.133248418569565	3.0166015625
-0.622159219346941	-0.0097632884979248	0.000528018746990711	-0.132517665624619	3.0419921875
-0.626933586318046	-0.00995647716522217	0.00177394552156329	-0.133115947246552	3.0673828125
-0.628685927949846	-0.00980574893951416	0.00160725542809814	-0.132168978452682	3.0927734375
-0.633877527434379	-0.00930245208740234	0.000143490819027647	-0.129887610673904	3.1181640625
-0.640916812699288	-0.00957164096832275	0.000192077714018524	-0.13033539056778	3.1435546875
-0.644463289063424	-0.00931499862670898	0.00134840852115303	-0.129682719707489	3.1689453125
-0.650209200102836	-0.00946312713623047	-3.55380434484687E-05	-0.127616673707962	3.1943359375
-0.655490148346871	-0.00902750492095947	0.000275574071565643	-0.126506388187408	3.2197265625
-0.660032033920288	-0.00949403190612793	0.00246511562727392	-0.127191096544266	3.2451171875
-0.662863254547119	-0.00947806072235107	0.000192566600162536	-0.12467697262764	3.2705078125
-0.672006630338728	-0.0086539831161499	-0.000213868479477242	-0.124773979187012	3.2958984375
-0.676262367051095	-0.00963309001922607	0.000250838289503008	-0.12579932808876	3.3212890625
-0.681674457155168	-0.00868740940093994	0.00181687518488616	-0.122243762016296	3.3466796875
-0.684952712617815	-0.0087456636428833	0.00124058383516967	-0.119958966970444	3.3720703125
-0.691014516633004	-0.00882178688049316	0.000261268054600805	-0.122803449630737	3.3974609375
-0.694590795319527	-0.00873732948303223	0.00087128154700622	-0.120050609111786	3.4228515625
-0.702035438735038	-0.00866939449310303	0.00130582810379565	-0.11868417263031	3.4482421875
-0.702935445588082	-0.00817764186859131	0.00195253198035061	-0.119285583496094	3.4736328125
-0.712591398041695	-0.0087261791229248	0.00206206785514951	-0.119122713804245	3.4990234375
-0.717616057954729	-0.00835534286499023	0.00131388322915882	-0.117918998003006	3.5244140625
-0.71979162748903	-0.00799433994293213	-8.64879348227987E-06	-0.117355734109879	3.5498046875
-0.72730181273073	-0.00897653579711914	0.00105146283749491	-0.117490440607071	3.5751953125
-0.731402658857405	-0.00853097724914551	0.000317851896397769	-0.116724669933319	3.6005859375
-0.738531351089478	-0.00816874122619629	0.000975742179434747	-0.115544646978378	3.6259765625
-0.742757343687117	-0.00865434074401855	0.003047727746889	-0.115728378295898	3.6513671875
-0.748217105865479	-0.00841277694702148	0.00123298272956163	-0.11483445763588	3.6767578125
-0.751668238081038	-0.00786381769180298	0.000403478421503678	-0.112197697162628	3.7021484375
-0.758117414079607	-0.00822545337677002	0.00210050446912646	-0.112545490264893	3.7275390625
-0.76031091157347	-0.00791592502593994	0.000995309674181044	-0.110424906015396	3.7529296875
-0.767707824707031	-0.00792268085479736	0.000929751084186137	-0.109695643186569	3.7783203125
-0.773024570662528	-0.00835510540008545	0.000733226770535111	-0.110120475292206	3.8037109375
-0.777679670136422	-0.00797824668884277	0.00141199992503971	-0.1077501475811	3.8291015625
-0.781506299972534	-0.00839577484130859	0.00104148697573692	-0.108500123023987	3.8544921875
-0.787425029557198	-0.00736465978622437	0.00138094334397465	-0.106935501098633	3.8798828125
-0.791633152402937	-0.00816898059844971	0.00209567369893193	-0.108166038990021	3.9052734375
-0.79692603321746	-0.00753168296813965	0.00140663364436477	-0.106486082077026	3.9306640625
-0.803405069746077	-0.00771071004867554	0.00214386475272477	-0.106131732463837	3.9560546875
-0.811064266599715	-0.00812710094451904	0.00104245310649276	-0.108019411563873	3.9814453125
-0.814980245195329	-0.00758360195159912	0.00161713815759867	-0.104862451553345	4.0068359375
-0.819778419099748	-0.00739494276046753	0.00192656239960343	-0.104052275419235	4.0322265625
-0.822150730527937	-0.00778827571868896	0.000741654424928129	-0.104388296604156	4.0576171875
-0.831139099318534	-0.00733423137664795	0.00198114407248795	-0.103995800018311	4.0830078125
-0.83305238513276	-0.00718685531616211	0.00122031790670007	-0.102920830249786	4.1083984375
-0.840532768052071	-0.00786939191818237	0.0019095673924312	-0.103716403245926	4.1337890625
-0.843673944473267	-0.00716949558258057	0.0019916552118957	-0.102297067642212	4.1591796875
-0.849801290314645	-0.00736808395385742	0.00165592378471047	-0.100991576910019	4.1845703125
-0.852519297040999	-0.0074278678894043	0.00192710943520069	-0.0992684066295624	4.2099609375
-0.859016203321517	-0.00718179607391357	0.0012355784419924	-0.100302398204803	4.2353515625
-0.864881265442818	-0.00717728900909424	-0.0004547426069621	-0.10039359331131	4.2607421875
-0.87015627650544	-0.00753004026412964	0.00157839898020029	-0.0995932519435883	4.2861328125
-0.875854515470564	-0.00710640478134155	0.00146535935346037	-0.0998793542385101	4.3115234375
-0.876855861861259	-0.0067051682472229	0.00222155265510082	-0.0976578891277313	4.3369140625
-0.884240842424333	-0.00682208490371704	0.000679157266858965	-0.0982484221458435	4.3623046875
-0.889283430296928	-0.00722458791732788	0.00274563673883677	-0.0998076796531677	4.3876953125
-0.89263916015625	-0.00654888916015625	0.00276250368915498	-0.0966724753379822	4.4130859375
-0.90016721514985	-0.00675237369537354	0.00142759794835001	-0.0971557199954987	4.4384765625
-0.903910375200212	-0.00720423364639282	0.0016201063990593	-0.0961841642856598	4.4638671875
-0.909268856048584	-0.00694481563568115	0.00273800082504749	-0.0957421958446503	4.4892578125
-0.915276992600411	-0.00686538982391357	0.00216752965934575	-0.0935816764831543	4.5146484375
-0.922209001146257	-0.00695072603225708	0.00410792091861367	-0.0940658152103424	4.5400390625
-0.926017761230469	-0.00706169748306274	0.00118579261470586	-0.0941306352615356	4.5654296875
-0.931906688492745	-0.00675785541534424	0.00146193709224463	-0.0929981470108032	4.5908203125
-0.935918069444597	-0.00661371660232544	0.00255080033093691	-0.0926153361797333	4.6162109375
